Spices,Tbl per Oz,Tsp per Oz
Ajwain,6.67,20
Allspice (Ground),4.75,14.33
Ground Anise,4,12
Anise Seeds,4.5,13.5
Annato Powder  (Achiote),3.1,9.25
Ground Basil,6,18
Bay Leaves,36/oz,
Ground Bay Leaves,4.2,12.66
Ground Caraway,5,15
Caraway Seed,3.9,11.7
Ground Cardamom,4.8,14.5
Cayenne,4.5,13.5
Celery Salt,1.9,5.7
Celery Seed,4.2,12.6
Ground Celery Seed,4,12
Chervil Leaves,14.33,43
Red Chili Flakes,5.67,17
Chili Powder,4.25,12.75
Chinese 5 Spice,4.25,12.75
Chives,46.67,140
Cinnamon,3.92,11.75
Ground Cloves,4.33,13
Cloves,5.33,16
Ground Coriander,4.78,14.33
Coriander Seeds,7,21
Cream of Tartar,2.5,7.5
Ground Cumin,4.73,14.2
Cumin Seeds,4.17,12.5
Curry Powder,4.42,13.25
Dextrose (Powdered),3,9
Dill Seed,4.33,13
Dill Weed,9.42,28.25
Epazote,10,30
Ground Fennel,4.3,12.9
Fennel Seed,4.33,13
Fenugreek Seed,2.58,7.75
Fermento,4,12
Granulated Garlic,2.83,8.5
Garlic Powder,3.57,10.7
Garlic Salt,2,6
Ginger,4.92,14.75
Herbs du Provence,11,33
Kosher Salt,2.66,8
Lavender (Dry),15,45
Lemon Balm,,
Mace,4.93,14.8
Marjoram,11.33,34
Mint Leaves,30,90
MSG,2.5,7.5
Mustard Ground,4.67,14
Mustard Seeds,2.5,7.5
Nutmeg,4.13,12.4
Onion Powder,4.27,12.8
Orange Peel,4,12
Oregano Leaves,9.33,28
Paprika,4.17,12.5
Parsley Flakes,23.33,70
Coarse Black Pepper,4.17,12.5
Cracked Black Pepper,4,12
Black Pepper Table Grind,4,12
Crushed Red Pepper,5.67,17
Black Peppercorns,3.5,10.5
Pickling Spice,3,9
Poppy Seed,3.33,10
Pumpkin Spice,5.33,16
Ground Rosemary,5.67,17
Rosemary Leaves,9,27
Saffron,13.33,40
Ground Sage,11,33
Kosher Salt (Diamond Crystal),3.33,10
Kosher Salt (Morton),1.83,5.5
Table Salt,1.58,4.74
Savory Leaves,6,18
Sesame Seeds,3.66,11
Brown Sugar,1.5,4.5
Granulated Sugar,2.33,7
Tarragon Leaves,12.33,37
Ground Thyme,3.75,11.25
Thyme Leaves,7,21
Turmeric,4,12
Wasabi Powder,5.75,17.25
